#  time  position  equilibrium_position  force_constant(kJ mol^-1 distance^-2)
        18      2.53961             2.5                         500
        38      2.53646             2.5                         500
        58      2.48186             2.5                         500
        78      2.44266             2.5                         500
        98      2.49722             2.5                         500
       118      2.42839             2.5                         500
       138      2.35416             2.5                         500
       158      2.53658             2.5                         500
       178      2.47042             2.5                         500
       198      2.46646             2.5                         500
       218      2.54403             2.5                         500
       238      2.53905             2.5                         500
       258      2.49245             2.5                         500
       278      2.51041             2.5                         500
       298      2.52242             2.5                         500
       318      2.60008             2.5                         500
       338      2.56845             2.5                         500
       358      2.57374             2.5                         500
       378      2.64116             2.5                         500
       398      2.55633             2.5                         500
       418      2.67829             2.5                         500
       438      2.56989             2.5                         500
       458      2.53142             2.5                         500
       478      2.57314             2.5                         500
       498      2.54573             2.5                         500
       518      2.55173             2.5                         500
       538      2.55837             2.5                         500
       558      2.48012             2.5                         500
       578      2.54189             2.5                         500
       598       2.5605             2.5                         500
       618      2.44817             2.5                         500
       638      2.47907             2.5                         500
       658      2.52847             2.5                         500
       678      2.69087             2.5                         500
       698       2.4401             2.5                         500
       718      2.49844             2.5                         500
       738      2.43932             2.5                         500
       758      2.52437             2.5                         500
       778      2.45109             2.5                         500
       798      2.52828             2.5                         500
       818      2.47304             2.5                         500
       838       2.5727             2.5                         500
       858      2.50846             2.5                         500
       878      2.55377             2.5                         500
       898      2.54169             2.5                         500
       918      2.53471             2.5                         500
       938      2.46409             2.5                         500
       958       2.5052             2.5                         500
       978      2.60843             2.5                         500
       998      2.47384             2.5                         500
      1018      2.49112             2.5                         500
      1038       2.4938             2.5                         500
      1058      2.44008             2.5                         500
      1078      2.43691             2.5                         500
      1098      2.49036             2.5                         500
      1118      2.43045             2.5                         500
      1138      2.44077             2.5                         500
      1158      2.61895             2.5                         500
      1178      2.52388             2.5                         500
      1198      2.56623             2.5                         500
      1218      2.56868             2.5                         500
      1238      2.51394             2.5                         500
      1258      2.47879             2.5                         500
      1278      2.49081             2.5                         500
      1298      2.46353             2.5                         500
      1318      2.55428             2.5                         500
      1338      2.52907             2.5                         500
      1358      2.55775             2.5                         500
      1378      2.53865             2.5                         500
      1398      2.50766             2.5                         500
      1418      2.37907             2.5                         500
      1438      2.56122             2.5                         500
      1458      2.49434             2.5                         500
      1478      2.57363             2.5                         500
      1498      2.67606             2.5                         500
      1518      2.49272             2.5                         500
      1538      2.54437             2.5                         500
      1558      2.46318             2.5                         500
      1578       2.4471             2.5                         500
      1598      2.53084             2.5                         500
      1618      2.60715             2.5                         500
      1638      2.37445             2.5                         500
      1658      2.31477             2.5                         500
      1678      2.38228             2.5                         500
      1698      2.41258             2.5                         500
      1718      2.45556             2.5                         500
      1738      2.36931             2.5                         500
      1758      2.39229             2.5                         500
      1778      2.36865             2.5                         500
      1798      2.36436             2.5                         500
      1818      2.46147             2.5                         500
      1838      2.40816             2.5                         500
      1858      2.44743             2.5                         500
      1878      2.45635             2.5                         500
      1898      2.50818             2.5                         500
      1918      2.53227             2.5                         500
      1938      2.57027             2.5                         500
      1958      2.56986             2.5                         500
      1978       2.5488             2.5                         500
      1998      2.48977             2.5                         500
      2018      2.40492             2.5                         500
      2038      2.50879             2.5                         500
      2058       2.5066             2.5                         500
      2078      2.43555             2.5                         500
      2098      2.43867             2.5                         500
      2118      2.55062             2.5                         500
      2138      2.59541             2.5                         500
      2158      2.60088             2.5                         500
      2178      2.55903             2.5                         500
      2198       2.5917             2.5                         500
      2218      2.59834             2.5                         500
      2238      2.60945             2.5                         500
      2258      2.48787             2.5                         500
      2278      2.53164             2.5                         500
      2298       2.5602             2.5                         500
      2318      2.52354             2.5                         500
      2338      2.45826             2.5                         500
      2358      2.44131             2.5                         500
      2378      2.52789             2.5                         500
      2398      2.45667             2.5                         500
      2418      2.39786             2.5                         500
      2438      2.37023             2.5                         500
      2458      2.32861             2.5                         500
      2478      2.44277             2.5                         500
      2498      2.50434             2.5                         500
      2518      2.43693             2.5                         500
      2538      2.57245             2.5                         500
      2558      2.48907             2.5                         500
      2578      2.47664             2.5                         500
      2598      2.54552             2.5                         500
      2618      2.52842             2.5                         500
      2638      2.47717             2.5                         500
      2658      2.53047             2.5                         500
      2678      2.63996             2.5                         500
      2698      2.35629             2.5                         500
      2718      2.61035             2.5                         500
      2738      2.51757             2.5                         500
      2758      2.42688             2.5                         500
      2778      2.54325             2.5                         500
      2798      2.43089             2.5                         500
      2818      2.37373             2.5                         500
      2838      2.55064             2.5                         500
      2858      2.40585             2.5                         500
      2878      2.46001             2.5                         500
      2898      2.56399             2.5                         500
      2918      2.61632             2.5                         500
      2938       2.4862             2.5                         500
      2958      2.36094             2.5                         500
      2978        2.448             2.5                         500
      2998      2.44752             2.5                         500
      3018      2.40537             2.5                         500
      3038      2.55358             2.5                         500
      3058      2.46038             2.5                         500
      3078       2.4462             2.5                         500
      3098       2.5179             2.5                         500
      3118      2.50348             2.5                         500
      3138      2.60533             2.5                         500
      3158      2.47309             2.5                         500
      3178      2.50622             2.5                         500
      3198      2.52398             2.5                         500
      3218      2.65967             2.5                         500
      3238      2.50915             2.5                         500
      3258       2.4879             2.5                         500
      3278      2.63308             2.5                         500
      3298      2.46398             2.5                         500
      3318      2.54772             2.5                         500
      3338      2.51075             2.5                         500
      3358      2.54351             2.5                         500
